Rank,Player,Nationality,Metric,Stat
2,Sead Kolasinac,Bosnia And Herzegovina,Red Cards,0
2,Shkodran Mustafi,Germany,Red Cards,0
2,Sokratis,Greece,Red Cards,0
2,Stephan Lichtsteiner,Switzerland,Red Cards,0
1,Bernd Leno,Germany,Saves,105
2,Petr Cech,Czech Republic,Saves,28
3,Aaron Ramsey,Wales,Saves,0
3,Ainsley Maitland-Niles,England,Saves,0
3,Alex Iwobi,Nigeria,Saves,0
3,Alexandre Lacazette,France,Saves,0
3,Bukayo Saka,England,Saves,0
3,Carl Jenkinson,England,Saves,0
3,Danny Welbeck,England,Saves,0
3,Denis Suárez,Spain,Saves,0
3,Eddie Nketiah,England,Saves,0
3,Granit Xhaka,Switzerland,Saves,0
3,Héctor Bellerín,Spain,Saves,0
3,Henrikh Mkhitaryan,Armenia,Saves,0
3,Joe Willock,England,Saves,0
3,Konstantinos Mavropanos,Greece,Saves,0
3,Laurent Koscielny,France,Saves,0
3,Lucas Torreira,Uruguay,Saves,0
3,Matteo Guendouzi,France,Saves,0
3,Mesut Özil,Germany,Saves,0
3,Mohamed Elneny,Egypt,Saves,0
3,Nacho Monreal,Spain,Saves,0
3,Pierre-Emerick Aubameyang,Gabon,Saves,0
3,Rob Holding,England,Saves,0
3,Sead Kolasinac,Bosnia And Herzegovina,Saves,0
3,Shkodran Mustafi,Germany,Saves,0
3,Sokratis,Greece,Saves,0
3,Stephan Lichtsteiner,Switzerland,Saves,0
1,Pierre-Emerick Aubameyang,Gabon,Shots,94
2,Alexandre Lacazette,France,Shots,81
3,Henrikh Mkhitaryan,Armenia,Shots,49
4,Alex Iwobi,Nigeria,Shots,35
5,Aaron Ramsey,Wales,Shots,33
6,Granit Xhaka,Switzerland,Shots,29
7,Lucas Torreira,Uruguay,Shots,25
8,Héctor Bellerín,Spain,Shots,18
8,Shkodran Mustafi,Germany,Shots,18
10,Matteo Guendouzi,France,Shots,16
11,Mesut Özil,Germany,Shots,11
11,Sokratis,Greece,Shots,11
13,Sead Kolasinac,Bosnia And Herzegovina,Shots,9
14,Mohamed Elneny,Egypt,Shots,7
14,Nacho Monreal,Spain,Shots,7
16,Ainsley Maitland-Niles,England,Shots,5
16,Laurent Koscielny,France,Shots,5
